CIDR	3 DOT FORMAT	RIVAN FORMAT	WILDCARD
/15	255.254.0.0	=(2ND, 2i)	0.1.255.255
/26	255.255.255.192	=(4TH, 64i)	0.0.0.63
/30	255.255.255.252	=(4TH, 4i)	0.0.0.3
/13	255.248.0.0	=(2ND, 8i)	0.7.255.255
/21	255.255.248.0	=(3RD, 8i)	0.0.7.255

/11	255.224.0.0	=(2ND, 32i)	0.31.255.255
/21	255.255.248.0	=(3RD, 8i)	0.0.7.255
/7	254.0.0.0	=(1ST, 2i)	1.255.255.255
/17	255.255.128.0	=(3RD, 128i)	0.0.127.255
/12	255.240.0.0	=(2ND, 16i)	0.15.255.255

/20	255.255.240.0	=(3RD, 16i)	0.0.15.255
/10	255.192.0.0	=(2ND, 64i)	0.63.255.255
/6	252.0.0.0	=(1ST, 4i)	3.255.255.255
/27	255.255.255.224	=(4TH, 32i)	0.0.0.31


